lat,lon,pres
-41.49851782,145.6680262,1
-41.4228231,145.8656631,1
-42.78768928,147.4024039,1
-42.04220734,146.6642458,1
-41.42301071,147.0037338,1
-41.63676937,147.7457568,1
-42.96037513,147.0712598,1
-42.11629478,146.757,1
-42.07502661,148.1757716,1
-42.29072378,147.8638052,1
-42.11897845,146.7485217,1
-42.29601631,147.8784347,1
-41.46354383,146.9857741,1
-41.47499567,147.8253406,1
-42.94829768,147.8670225,1
-41.58333333,147.1166667,1
-42.83992964,147.4367492,1
-41.45443309,147.8035287,1
-42.11631528,146.1787767,1
-42.64849655,148.0346728,1
-43.00962216,147.0743107,1
-42.71110754,147.3784015,1
-41.54543245,147.4749382,1
-42.83,147,1
-42.76400126,147.7982418,1
-42.11809861,146.7582029,1
-41.9343464,147.249835,1
-42.74850129,147.4013561,1
-41.56798933,147.4655083,1
-42.76607196,147.6075999,1
-42.23182512,147.6679995,1
-42.75390933,147.6881328,1
-42.81516601,147.801346,1
-41.43269037,147.8212138,1
-41.96516939,147.1013483,1
-42.0358814,146.6570302,1
-41.5113462,147.9024954,1
-42.83183484,147.6680132,1
-43.21253538,146.9878365,1
-41.53184282,146.4680182,1
-42.06516595,146.8846773,1
-42.20998016,147.2339578,1
-42.566667,147.866667,1
-42.97146808,147.2061657,1
-41.55628015,147.4654243,1
-41.43269037,147.8212138,1
-41.62312421,148.2095278,1
-43.01849178,147.9178595,1
-42.75112633,147.7015434,1
-42.7720368,147.8081238,1
-42.52457434,147.4433242,1
-41.52652954,146.8754865,1
-42.62898707,147.0501481,1
-43.16573392,147.4478069,1
-42.99359845,146.835764,1
-42.86719721,147.3196721,1
-41.59976427,146.7124004,1
-42.83350369,147.2627834,1
-42.33183694,146.8346927,1
-42.66516759,147.168018,1
-41.76666,147.35,1
-42.49850196,147.3346796,1
-42.5055409,147.4736185,1
-41.5484963,147.5679932,1
-41.57680455,147.0442277,1
-42.61516348,147.6346741,1
-42.68630224,146.7242736,1
-42.9923572,147.3240001,1
-42.33182571,148.0013308,1
-41.53305015,147.8914091,1
-42.78370248,147.2092093,1
-43.13246762,147.1384114,1
-42.86667232,146.8728276,1
-42.9484927,147.3273494,1
-41.58333333,147.1166667,1
-42.11515149,148.2846556,1
-42.8897258,147.4762555,1
-42.72710991,146.8938781,1
-41.58333333,147.1166667,1
-42.66516172,147.5513507,1
-42.68332,146.71665,1
-43.16478104,146.9177269,1
-42.05349369,146.5421296,1
-41.8151616,147.4013391,1
-41.64450216,147.7338379,1
-41.8318292,147.43467,1
-42.75857986,146.849829,1
-42.73943931,147.5303718,1
-42.66516953,146.7846968,1
-43.13938976,147.2177958,1
-42.68169547,146.6840147,1
-42.58182968,148.0513372,1
-42.66517114,147.3346814,1
-42.33184456,146.5013597,1
-41.53766849,147.8764873,1
-41.61957857,147.757562,1
-42.90580664,147.2766904,1
-42.12541808,148.2983041,1
-42.92245771,147.2874865,1
-42.9484927,147.3273494,1
-43.04687996,147.2369657,1
-43.05974602,147.0313155,1
-42.63773909,146.7537616,1
-42.58182968,148.0513372,1
-41.59395696,146.6657838,1
-42.06695177,146.5293412,1
-41.45,147.16666,1
-42.88193,147.32304,1
-42.95,147.35,1
-42.86,147.45,1
-42.22388,146.80888,1
-42.81,147.15,1
-42,146.5,1
-42.51,147.91,1
-41.4,147.3,1
-41.53,146.83,1
-42.22388,146.80888,1
-42.78,147.52,1
-42.81,147.15,1
-41.53,146.83,1
-41.65,147.33332,1
-41.65,147.33332,1
-43.14,147.25,1
-41.53,146.83,1
-42.79,147.25,1
-41.76,147.35,1
-41.53,146.83,1
-42,146.5,1
-41.53,146.83,1
-41.4,147.3,1
-41.53,146.83,1
-41.53,146.83,1
-42.05,146.7,1
-42.74,147.44,1
-41.45,147.166667,1
-42.22388,146.80888,1
-42.88193,147.32304,1
-42.88193,147.32304,1
-43.07622252,147.2789913,1
-42.9035677,147.4778787,1
-42.86516849,147.2680251,1
-41.95893105,147.035139,1
-41.99703709,148.0806189,1
-42.41941756,147.7488838,1
-42.78409577,147.3999354,1
-42.94094387,147.8618082,1
-42.49848864,148.0013328,1
-42.14908454,146.405743,1
-42.94856696,147.2347495,1
-42.75305642,147.22377,1
-42.40732348,147.8058564,1
-41.91515779,147.617996,1
-41.99266355,148.2497248,1
-41.63934059,146.9196961,1
-42.7663857,147.5452686,1
-42.52300868,147.3775687,1
-41.84435164,147.2133483,1
-42.42892463,147.8077134,1
-42.66516722,147.3846877,1
-43.03603287,147.0406576,1
-42.58382132,147.8081258,1
-42.78388458,147.0453826,1
-41.80654767,147.8127288,1
-42.5219328,147.4274784,1
-42.50030652,147.8971104,1
-42.35780355,147.804009,1
-42.0911525,147.4983347,1
-41.93754931,147.6008778,1
-42.71517139,146.9513579,1
-42.75640501,147.3288784,1
-42.42198227,147.7695783,1
-41.45,147.15,1
-42.49848864,148.0013328,1
-42.11289202,146.2042225,1
-42.40374699,147.8021651,1
-42.6800208,147.2662271,1
-42.50188058,147.9133199,1
-41.8318323,147.2180036,1
-42.75968159,147.1478149,1
-42.99850479,147.0680282,1
-42.51663468,147.3982255,1
-42.49849745,147.5013497,1
-42.4547402,147.7176844,1
-42.53184875,146.3013665,1
-42.41673974,147.7452057,1
-42.49876549,147.7340088,1
-42.8219201,147.6892658,1
-42.55182482,147.2098705,1
-42.29849431,148.0013363,1
-42.77753197,147.1150586,1
-42.81516904,147.3013617,1
-42.75546736,147.1609295,1
-42.12333931,146.2003172,1
-41.81518031,146.318023,1
-42.93833753,147.3200398,1
-41.65,147.33332,1
-43.28183542,147.3013625,1
-42.75804773,147.0067459,1
-41.79849337,147.4180024,1
-42.09715465,148.2481467,1
-42.04850061,147.518,1
-42.82329713,147.5066208,1
-42.43184357,146.6513662,1
-42.53498131,146.7139807,1
-42.14883716,147.1780589,1
-42.3089274,146.7125796,1
-43.00248118,147.2344884,1
-42.81084731,147.6532933,1
-42.68379864,146.8249376,1
-42.1372218,147.1017916,1
-42.68564124,147.1454055,1
-42.1138265,146.9263577,1
-42.96995563,147.4795941,1
-42.75225369,147.1663346,1
-42.7889994,147.8047865,1
-43.13842396,147.2497628,1
-41.93332,147.5,1
-42.59850229,147.2846884,1
-43.07534557,147.2691604,1
-42.55299271,146.7138985,1
-42.50861255,146.6264618,1
-42.9170853,147.3102138,1
-42.75224465,147.1724444,1
-42.36516005,147.7013377,1
-42.36212962,146.740268,1
-42.12317849,146.2609543,1
-42.96517501,146.8847027,1
-42.13184121,146.8680161,1
-42.91852554,147.3202436,1
-42.81796645,147.6680473,1
-42.96517303,147.2013626,1
-42.11136281,148.2665688,1
-41.7440577,145.9261715,1
-42.97020297,147.0477267,1
-42.65861231,147.734666,1
-42.1795265,147.1272879,1
-42.43823699,147.6129335,1
-42.91186151,147.2969196,1
-41.47559823,146.6420348,1
-42.1795265,147.1272879,1
-42.13071956,147.2360858,1
-42.13545487,147.0497569,1
-42.13184353,146.2513674,1
-42.54154156,147.6602212,1
-42.38184406,146.6180305,1
-42.66517155,146.8347032,1
-41.43480867,148.0079601,1
-43.01096102,146.9991901,1
-42.54154156,147.6602212,1
-42.74849376,147.7180092,1
-42.35756543,147.7032204,1
-42.69850124,147.0680294,1
-42.77739754,147.1144104,1
-42.54849392,147.8846704,1
-42.99270658,146.8418999,1
-42.59973849,146.6819912,1
-42.98558487,146.921646,1
-42.1795265,147.1272879,1
-43.15300774,146.8513267,1
-41.51728522,146.81352,1
-42.13706903,147.213118,1
-43.18367851,146.9017045,1
-42.96339607,146.9547186,1
-42.66516588,147.7180134,1
-41.74849827,147.3346644,1
-42.21168941,146.5767279,1
-42.85601667,147.4334475,1
-42.22109353,146.5627308,1
-42.75208628,147.6917785,1
-42.93837349,146.9623972,1
-42.11516732,147.2680113,1
-42.54511547,147.6651305,1
-42.16420306,147.1381525,1
-42.88468356,147.4156101,1
-42.13722392,147.0993714,1
-42.11517018,146.8846835,1
-42.02323376,146.6444151,1
-41.99848696,148.1679881,1
-42.75767569,147.1529062,1
-42.74521671,147.7106404,1
-41.52110424,146.857519,1
-43.02072892,146.9756017,1
-42.04580638,146.6630185,1
-42.14348835,147.1381074,1
-42.19850822,146.918023,1
-42.98468265,146.919194,1
-42.12615015,147.2663154,1
-42.04850954,146.6513553,1
-42.51959646,147.6629971,1
-42.96357195,147.3128138,1
-41.42480964,147.0246771,1
-42.78458473,147.2189931,1
-42.76400126,147.7982418,1
-42.84356366,147.3905287,1
-42.21168941,146.5767279,1
-42.18764675,146.5314745,1
-42.62171337,147.1355013,1
-42.16517195,147.1680082,1
-42.75014954,147.7827901,1
-43.18367745,146.9004739,1
-42.17233638,147.6527354,1
-42.63839021,147.7283294,1
-42.65861231,147.734666,1
-41.53914965,147.4694974,1
-42.65861231,147.734666,1
-42.20279213,147.225452,1
-42.47436972,147.632629,1
-42.42765941,146.6585495,1
-42.17861179,147.1393947,1
-42.18749778,147.2169204,1
-42.3593888,147.6995978,1
-41.94849654,147.6513276,1
-41.76534226,146.1561994,1
-41.41490123,146.9750155,1
-42.75390933,147.6881328,1
-42.43964755,147.6285226,1
-41.40949782,146.981,1
-42.30413949,147.8761211,1
-42.20279213,147.225452,1
-41.98284148,147.3079675,1
-42.79850042,147.7680156,1
-42.50446883,147.6436675,1
-42.82536469,147.7929139,1
-42.19890416,147.114003,1
-42.13454701,147.0642765,1
-42.88474611,147.4157452,1
-43.19989223,146.9078328,1
-42.4484947,147.5180119,1
-41.42931252,146.9714195,1
-42.36866545,146.6570474,1
-43.11516032,147.8513553,1
-42.82395846,147.7194936,1
-42.08182725,147.4180071,1
-42.84850152,147.4346923,1
-42.88669298,147.4177422,1
-43.00992431,147.0160991,1
-41.69848986,148.2846445,1
-42.42229461,147.5605101,1
-42.12549148,146.202855,1
-41.99849702,147.1680037,1
-42.12549148,146.202855,1
-41.83746645,147.4228929,1
-42.09849729,147.4846663,1
-41.7,146.25,1
-42.74850129,147.4013561,1
-42.81705168,147.670484,1
-42.41044731,147.5883567,1
-41.65,147.33332,1
-42.9151665,147.4180202,1
-41.85335398,147.2157877,1
-43.19849929,147.4180292,1
-41.78332,146.93333,1
-42.97830676,146.848069,1
-42.03615874,148.2252061,1
-42.68289534,146.823158,1
-42.74850129,147.4013561,1
-42.83183546,147.3346861,1
-41.65,147.33332,1
-42.3843683,147.0090844,1
-41.84849848,147.20134,1
-41.41074538,148.2564533,1
-42.93112177,147.8506419,1
-41.42182468,147.2562375,1
-41.54625146,148.219508,1
-42.82151084,147.6778721,1
-41.65675821,148.2456107,1
-42.82306173,147.6999951,1
-42.77267172,147.5489908,1
-42.12605697,147.3038207,1
-42.06447928,146.9128411,1
-42.87360051,147.28175,1
-41.82572642,147.4312449,1
-42.49849822,147.1680214,1
-43.11299732,147.2441283,1
-41.58229781,147.1824921,1
-43.05646076,147.2580259,1
-42.89451468,147.8072717,1
-43.17041443,146.9255684,1
-42.66517633,146.6180334,1
-43.08044951,147.7409147,1
-42.19656819,148.0520488,1
-41.82169021,146.2127627,1
-42.0984961,147.6180074,1
-42.78245042,147.5943241,1
-42.81581367,147.6650395,1
-42.886675,147.4226406,1
-42.93023044,147.8494041,1
-42.97194389,147.1914515,1
-41.43903385,147.0927688,1
-42.04849117,147.6346694,1
-41.41134006,146.5432335,1
-42.11628925,146.175148,1
-42.74850129,147.4013561,1
-41.72970862,147.3223866,1
-42.81586444,147.786334,1
-42.96002568,147.0511518,1
-41.44346924,148.2695459,1
-43.07622252,147.2789913,1
-41.57311662,147.6982445,1
-42.75640501,147.3288784,1
-42.16870625,147.1381623,1
-43.16915131,147.1923739,1
-41.82214619,147.4252003,1
-41.51834634,146.1812925,1
-41.77423515,147.3687292,1
-42.81464418,147.76709,1
-43.08237862,147.0164866,1
-41.70778672,148.2747812,1
-42.76009956,147.5415471,1
-42.12780522,146.9663044,1
-42.20120171,148.0446763,1
-41.7717061,148.2684543,1
-42.84628683,147.4200521,1
-42.12645144,146.9577997,1
-43.15663338,146.8357339,1
-42.71516632,147.5846811,1
-42.68801696,147.5286158,1
-42.8151702,147.4846835,1
-41.8484933,147.5346694,1
-42.30481432,146.4329138,1
-41.41666,147.1,1
-42.633333,148.05,1
-41.78183324,147.3346692,1
-42.5384652,147.453558,1
-42.71516212,147.4680162,1
-41.7151678,147.0346693,1
-42.91785358,147.3190149,1
-42.7963748,147.1701212,1
-42.71516212,147.4680162,1
-42.78183603,147.0846984,1
-42.8151739,146.9680253,1
-41.52826812,146.9284999,1
-42.78142919,147.5774311,1
-42.66516635,147.5013446,1
-42.13108089,146.2206921,1
-42.74849798,147.7013427,1
-41.99850093,146.8346888,1
-42.69849825,147.5346871,1
-42.11517023,146.8680144,1
-42.31515997,147.9346659,1
-41.5,147.25,1
-41.41112827,147.0670043,1
-42.7484957,147.4180227,1
-42.74850129,147.4013561,1
-42.97807208,146.9490785,1
-42.81710149,147.6619218,1
-41.43,147.1,1
-42.66098422,147.5340117,1
-42.29269719,146.4339566,1
-42.73183973,146.8346973,1
-41.66491211,148.2602418,1
-42.79850491,146.9680339,1
-42.43717761,147.6354767,1
-42.5333,147.2,1
-43.13032233,147.2485004,1
-42.04849366,147.8846589,1
-42.56517445,147.0013645,1
-42.3318272,147.8346661,1
-41.53332,147.46665,1
-42.91221596,147.3223549,1
-43.09850707,147.2180318,1
-42.16516328,147.5013364,1
-41.831832,147.0013488,1
-42.7484967,147.4346893,1
-41.83183525,147.1680008,1
-41.79883198,147.3961577,1
-42.28183099,147.3846758,1
-41.86517731,146.3180221,1
-42.61516348,147.6346741,1
-42.08183155,147.5513377,1
-41.83108459,147.4433238,1
-42.75721453,147.7456429,1
-42.63183256,147.601353,1
-41.79849272,147.3846725,1
-42.94850095,147.3180331,1
-42.75721453,147.7456429,1
-42.58485456,147.9105086,1
-41.76835791,147.574031,1
-42.7651955,147.7142176,1
-42.11516131,147.7180015,1
-41.8758747,148.3040864,1
-42.1101669,146.7553664,1
-43.0110321,147.2019806,1
-43.0110321,147.2019806,1
-42.99850698,147.0013741,1
-41.4463787,147.1090845,1
-41.44997099,147.1198655,1
-42.74849605,147.7513423,1
-42.12833651,146.9660016,1
-41.74295998,147.6086812,1
-42.7484957,147.4180227,1
-42.76301868,147.7181402,1
-42.03284072,146.5579831,1
-41.74850959,146.3346895,1
-43.36228943,147.3265686,1
-41.57,147.63,1
-42.76419452,147.7144383,1
-42.66516215,147.6680195,1
-41.86517731,146.3180221,1
-42.68540748,147.265652,1
-43.07205861,147.018572,1
-42.58182968,148.0513372,1
-41.56834206,146.2405421,1
-41.84488223,148.2564805,1
-42.49849745,147.5013497,1
