"","pres","longitude","latitude","optional"
"1",1,993386.667016136,-4712837.13621386,TRUE
"2",1,1010972.52830522,-4705868.10087156,TRUE
"3",1,1124909.49614727,-4873415.27503151,TRUE
"4",1,1071714.89723942,-4782476.609206,TRUE
"5",1,1107604.59463155,-4715482.17949177,TRUE
"6",1,1167914.99977636,-4746308.55250487,TRUE
"7",1,1095169.05231921,-4890106.37887741,TRUE
"8",1,1078683.41125449,-4791653.99735044,TRUE
"9",1,1198694.119344,-4799841.92683114,TRUE
"10",1,1169720.24705755,-4821296.85755121,TRUE
"11",1,1077938.06169767,-4791884.98733741,TRUE
"12",1,1170883.13219982,-4822032.08603927,TRUE
"13",1,1105606.30068294,-4719894.97177814,TRUE
"14",1,1176664.47348505,-4728809.69152262,TRUE
"15",1,1161730.61934793,-4895879.59064758,TRUE
"16",1,1115294.67214044,-4734565.02551687,TRUE
"17",1,1127144.64330571,-4879654.31163106,TRUE
"18",1,1175071.13547295,-4726288.12583287,TRUE
"19",1,1029947.62811485,-4786805.32094443,TRUE
"20",1,1179532.60310191,-4863420.78776579,TRUE
"21",1,1094839.20877421,-4895731.31526812,TRUE
"22",1,1123831.36342598,-4864508.38531212,TRUE
"23",1,1146102.94156702,-4733512.89164741,TRUE
"24",1,1090757.91891851,-4874672.6126791,TRUE
"25",1,1158298.1652668,-4874322.55616712,TRUE
"26",1,1078763.9767643,-4791868.47855063,TRUE
"27",1,1122381.33165569,-4775391.02631006,TRUE
"28",1,1125298.05017115,-4868957.58876577,TRUE
"29",1,1145030.30653923,-4735971.09957997,TRUE
"30",1,1142332.15300236,-4872812.52484087,TRUE
"31",1,1153993.21183839,-4812821.12852618,TRUE
"32",1,1149216.98915828,-4872166.51138188,TRUE
"33",1,1157917.44963947,-4880157.65787702,TRUE
"34",1,1176841.13136571,-4724003.38034593,TRUE
"35",1,1109484.43485434,-4777556.7937797,TRUE
"36",1,1071178.67189109,-4781699.36076534,TRUE
"37",1,1182749.22330169,-4733631.20167587,TRUE
"38",1,1146568.71917774,-4880827.31044851,TRUE
"39",1,1085229.47509107,-4918065.25728724,TRUE
"40",1,1060905.22048253,-4723137.92477643,TRUE
"41",1,1090036.88994652,-4786970.04462043,TRUE
"42",1,1117746.10425051,-4806425.76320778,TRUE
"43",1,1166498.17728448,-4852576.50408763,TRUE
"44",1,1106297.67675435,-4892548.83015831,TRUE
"45",1,1145165.2462282,-4734649.62683405,TRUE
"46",1,1176841.13136571,-4724003.38034593,TRUE
"47",1,1207328.93443855,-4749152.38996246,TRUE
"48",1,1165085.46543375,-4904324.13834753,TRUE
"49",1,1150373.00999091,-4871973.4107882,TRUE
"50",1,1159023.7833289,-4875325.47905677,TRUE
"51",1,1131536.07093528,-4843934.62728288,TRUE
"52",1,1095518.91731577,-4726034.25727695,TRUE
"53",1,1097328.65659912,-4852289.37707564,TRUE
"54",1,1124091.07862185,-4916782.6616948,TRUE
"55",1,1075120.28706835,-4891849.92200705,TRUE
"56",1,1117031.1048734,-4881705.66604848,TRUE
"57",1,1080851.32779607,-4732887.0975509,TRUE
"58",1,1112683.3653828,-4877374.29384591,TRUE
"59",1,1082728.65626323,-4816729.88264225,TRUE
"60",1,1106771.96236381,-4857428.24829757,TRUE
"61",1,1132854.32884542,-4757345.76927258,TRUE
"62",1,1122740.64124397,-4840004.74573135,TRUE
"63",1,1134308.39733882,-4842050.26690139,TRUE
"64",1,1153949.56025864,-4734709.98084565,TRUE
"65",1,1109234.21228673,-4733187.19523607,TRUE
"66",1,1146460.73853364,-4855939.59562472,TRUE
"67",1,1069361.26550492,-4855985.03657579,TRUE
"68",1,1115879.3107568,-4895964.86303213,TRUE
"69",1,1180755.36588798,-4827234.93452336,TRUE
"70",1,1181538.35309749,-4735973.55301607,TRUE
"71",1,1108801.96881799,-4871245.70068542,TRUE
"72",1,1098721.51926126,-4910261.99413543,TRUE
"73",1,1079696.84309209,-4877740.62180084,TRUE
"74",1,1116689.40812766,-4891009.60132507,TRUE
"75",1,1115294.67214044,-4734565.02551687,TRUE
"76",1,1207344.0553859,-4805419.29037543,TRUE
"77",1,1129837.18916477,-4885664.25967093,TRUE
"78",1,1083088.30809502,-4862070.39489927,TRUE
"79",1,1115294.67214044,-4734565.02551687,TRUE
"80",1,1138867.95143002,-4860852.5020063,TRUE
"81",1,1068757.13523413,-4855581.6263287,TRUE
"82",1,1079952.69846388,-4912025.91643115,TRUE
"83",1,1061287.39998088,-4782717.35561932,TRUE
"84",1,1136608.06287673,-4763286.67550455,TRUE
"85",1,1166810.6269107,-4747070.17435506,TRUE
"86",1,1139222.17683829,-4765471.01408443,TRUE
"87",1,1079034.44711451,-4865264.7759483,TRUE
"88",1,1136200.82668296,-4869089.9789323,TRUE
"89",1,1074666.68859884,-4854101.5646414,TRUE
"90",1,1105252.61723833,-4911745.59590669,TRUE
"91",1,1066042.34629139,-4855120.01060132,TRUE
"92",1,1181775.79140982,-4856020.3689072,TRUE
"93",1,1120727.69837538,-4858905.69026687,TRUE
"94",1,1054702.81331786,-4813896.06093246,TRUE
"95",1,1180216.61424421,-4736353.99434742,TRUE
"96",1,1169127.16137808,-4744479.16582345,TRUE
"97",1,1112974.87174185,-4885710.18073285,TRUE
"98",1,1208360.04912489,-4806710.91987424,TRUE
"99",1,1113675.75476417,-4887697.62714724,TRUE
"100",1,1116689.40812766,-4891009.60132507,TRUE
"101",1,1107961.9753377,-4901393.00217832,TRUE
"102",1,1090658.57674767,-4901057.1570425,TRUE
"103",1,1072392.30758281,-4850723.95876627,TRUE
"104",1,1181775.79140982,-4856020.3689072,TRUE
"105",1,1076967.57672398,-4731831.32846307,TRUE
"106",1,1060056.51598529,-4784132.41484326,TRUE
"107",1,1121111.48580283,-4719970.15094231,TRUE
"108",1,1117134.41212906,-4883409.04159229,TRUE
"109",1,1118561.88481112,-4891382.31493873,TRUE
"110",1,1128007.08167176,-4882052.37032343,TRUE
"111",1,1081809.34512439,-4804279.46122918,TRUE
"112",1,1103536.42582016,-4873710.64824938,TRUE
"113",1,1058338.30814248,-4776309.391631,TRUE
"114",1,1170842.27081898,-4846557.80287618,TRUE
"115",1,1133021.64612741,-4715529.10214754,TRUE
"116",1,1091622.0322576,-4726030.01746186,TRUE
"117",1,1081809.34512439,-4804279.46122918,TRUE
"118",1,1134836.0591794,-4873599.69038826,TRUE
"119",1,1103536.42582016,-4873710.64824938,TRUE
"120",1,1091622.0322576,-4726030.01746186,TRUE
"121",1,1132846.72668359,-4744025.97824286,TRUE
"122",1,1132846.72668359,-4744025.97824286,TRUE
"123",1,1107928.16500509,-4912098.5899735,TRUE
"124",1,1091622.0322576,-4726030.01746186,TRUE
"125",1,1112137.66082497,-4872321.1611942,TRUE
"126",1,1132934.51886067,-4756593.73605732,TRUE
"127",1,1091622.0322576,-4726030.01746186,TRUE
"128",1,1058338.30814248,-4776309.391631,TRUE
"129",1,1091622.0322576,-4726030.01746186,TRUE
"130",1,1133021.64612741,-4715529.10214754,TRUE
"131",1,1091622.0322576,-4726030.01746186,TRUE
"132",1,1091622.0322576,-4726030.01746186,TRUE
"133",1,1074640.9076656,-4783663.62898294,TRUE
"134",1,1128634.15685205,-4868339.27367218,TRUE
"135",1,1121112.07965462,-4719970.21338923,TRUE
"136",1,1081809.34512439,-4804279.46122918,TRUE
"137",1,1117134.41212906,-4883409.04159229,TRUE
"138",1,1117134.41212906,-4883409.04159229,TRUE
"139",1,1111112.66128819,-4905100.57745867,TRUE
"140",1,1129803.48835214,-4887251.08129008,TRUE
"141",1,1112740.37499154,-4881017.0535503,TRUE
"142",1,1103971.11261173,-4776268.41658674,TRUE
"143",1,1191673.4834714,-4790124.24695215,TRUE
"144",1,1158462.38545593,-4834803.10668499,TRUE
"145",1,1124746.7560778,-4872985.23430332,TRUE
"146",1,1161388.0591959,-4894996.17508826,TRUE
"147",1,1178644.16948054,-4846107.37362548,TRUE
"148",1,1048712.69399512,-4792392.85552268,TRUE
"149",1,1108958.44041475,-4890198.06411633,TRUE
"150",1,1110387.16408612,-4867895.01681723,TRUE
"151",1,1163394.61454177,-4833959.65407062,TRUE
"152",1,1153683.2635344,-4776556.58740932,TRUE
"153",1,1205980.5232196,-4791243.33009295,TRUE
"154",1,1097953.7930949,-4739151.69441123,TRUE
"155",1,1137116.03128928,-4872282.84410646,TRUE
"156",1,1126041.31241788,-4843166.52141467,TRUE
"157",1,1120375.21491879,-4764895.88382445,TRUE
"158",1,1163280.58167532,-4836423.3532275,TRUE
"159",1,1124914.7057172,-4859352.03136739,TRUE
"160",1,1091718.49838828,-4898441.56157108,TRUE
"161",1,1161378.9071405,-4853978.7605849,TRUE
"162",1,1095097.68403277,-4869829.86124507,TRUE
"163",1,1171468.07982315,-4766091.77820181,TRUE
"164",1,1130239.51530586,-4843492.59374437,TRUE
"165",1,1169883.69628008,-4845339.4797544,TRUE
"166",1,1163857.99300139,-4828335.05794016,TRUE
"167",1,1141439.87964656,-4795357.74208302,TRUE
"168",1,1151963.83998678,-4778929.50241023,TRUE
"169",1,1088039.72846633,-4861211.55141078,TRUE
"170",1,1119139.56108002,-4869207.49580687,TRUE
"171",1,1160167.14173392,-4835284.50374235,TRUE
"172",1,1119698.10869328,-4719821.62099743,TRUE
"173",1,1178644.16948054,-4846107.37362548,TRUE
"174",1,1032130.55350487,-4786626.47465887,TRUE
"175",1,1163129.4716487,-4833520.44503823,TRUE
"176",1,1114817.29491295,-4859981.71242207,TRUE
"177",1,1171222.83946201,-4845668.80051151,TRUE
"178",1,1120917.79837539,-4763523.04071558,TRUE
"179",1,1103953.6634155,-4867977.97354036,TRUE
"180",1,1094446.92068005,-4894412.64550283,TRUE
"181",1,1127850.81412779,-4842629.19722511,TRUE
"182",1,1136720.12995015,-4841502.52713629,TRUE
"183",1,1155405.52127384,-4838517.12667997,TRUE
"184",1,1035656.97825754,-4834913.09811029,TRUE
"185",1,1158187.01698036,-4834465.90420343,TRUE
"186",1,1156227.70200771,-4843655.40642613,TRUE
"187",1,1148467.57447743,-4879895.83481789,TRUE
"188",1,1111633.14610794,-4844940.71587223,TRUE
"189",1,1181177.86164335,-4823462.63958907,TRUE
"190",1,1101001.01124806,-4869717.31139282,TRUE
"191",1,1116129.01366899,-4875634.33785158,TRUE
"192",1,1105101.08979746,-4867614.80010065,TRUE
"193",1,1031686.11077026,-4787777.34891486,TRUE
"194",1,1045035.98537649,-4753885.58587141,TRUE
"195",1,1116202.0034883,-4889790.74299792,TRUE
"196",1,1132846.72668359,-4744025.97824286,TRUE
"197",1,1110492.12393879,-4928693.27634917,TRUE
"198",1,1092170.6565365,-4866559.86825013,TRUE
"199",1,1138217.71412617,-4761555.02796496,TRUE
"200",1,1204503.17767362,-4803034.84452684,TRUE
"201",1,1143617.20199722,-4790713.43528871,TRUE
"202",1,1133187.06205207,-4878394.1366359,TRUE
"203",1,1066170.9700155,-4826497.06399413,TRUE
"204",1,1070242.39787903,-4838725.62577428,TRUE
"205",1,1113770.52005664,-4799009.67226925,TRUE
"206",1,1072726.06148706,-4813087.05498067,TRUE
"207",1,1108288.92993701,-4896323.52457601,TRUE
"208",1,1145598.64215908,-4878310.57003741,TRUE
"209",1,1077821.00407588,-4856560.78612839,TRUE
"210",1,1107485.6053986,-4797021.27520244,TRUE
"211",1,1104634.40982498,-4859552.60765805,TRUE
"212",1,1092982.28108097,-4792837.95730672,TRUE
"213",1,1129134.62184708,-4894808.81338963,TRUE
"214",1,1105591.64894463,-4867297.50586493,TRUE
"215",1,1158532.48164337,-4877219.6218189,TRUE
"216",1,1107927.37781469,-4911917.20859697,TRUE
"217",1,1143504.26955061,-4777530.29984951,TRUE
"218",1,1117344.13509173,-4850897.82616929,TRUE
"219",1,1110303.69504275,-4904913.96560589,TRUE
"220",1,1070028.08816569,-4840768.12061322,TRUE
"221",1,1063201.62837357,-4834991.75384502,TRUE
"222",1,1115638.38688453,-4887288.81563671,TRUE
"223",1,1106102.92375091,-4867350.24294069,TRUE
"224",1,1155144.73778357,-4828220.73804913,TRUE
"225",1,1074441.24678642,-4819352.03047446,TRUE
"226",1,1036799.26253747,-4788258.16730398,TRUE
"227",1,1079537.52139085,-4889037.84013676,TRUE
"228",1,1087857.03482617,-4794370.45789301,TRUE
"229",1,1116458.50860883,-4887541.51818276,TRUE
"230",1,1146743.47437158,-4879253.26464413,TRUE
"231",1,1105972.23190228,-4891791.0835928,TRUE
"232",1,1205870.75407874,-4804817.40182417,TRUE
"233",1,1012658.98292632,-4742637.89215336,TRUE
"234",1,1093088.03658608,-4891018.60252344,TRUE
"235",1,1154294.46712627,-4861782.15480055,TRUE
"236",1,1109131.02871749,-4802033.76197425,TRUE
"237",1,1146820.61694686,-4835687.99926883,TRUE
"238",1,1114591.28529583,-4886577.36384427,TRUE
"239",1,1076303.26990699,-4718270.72172124,TRUE
"240",1,1109131.02871749,-4802033.76197425,TRUE
"241",1,1118873.38472683,-4797475.1029198,TRUE
"242",1,1103123.83768437,-4796363.67191385,TRUE
"243",1,1035895.20111301,-4789160.25403614,TRUE
"244",1,1149511.22775402,-4847826.35300147,TRUE
"245",1,1063942.15706194,-4820546.44823044,TRUE
"246",1,1078855.54854774,-4854530.25267737,TRUE
"247",1,1192649.9231015,-4726002.58398031,TRUE
"248",1,1088555.34378951,-4895230.97408988,TRUE
"249",1,1149511.22775402,-4847826.35300147,TRUE
"250",1,1151782.71377996,-4871825.50914539,TRUE
"251",1,1155396.9815679,-4827378.07261635,TRUE
"252",1,1098003.541656,-4860334.0452751,TRUE
"253",1,1100948.39160781,-4869696.36878702,TRUE
"254",1,1168234.99294512,-4850684.07509217,TRUE
"255",1,1075642.83781043,-4891801.01651989,TRUE
"256",1,1066814.77940424,-4845800.63971652,TRUE
"257",1,1082382.47105412,-4891675.98107118,TRUE
"258",1,1109131.02871749,-4802033.76197425,TRUE
"259",1,1074558.3998775,-4910116.84888388,TRUE
"260",1,1090371.50624214,-4724452.32151547,TRUE
"261",1,1116863.22086357,-4797989.21311467,TRUE
"262",1,1078396.31270664,-4914039.13308657,TRUE
"263",1,1085403.94707176,-4889438.69242154,TRUE
"264",1,1152819.05061982,-4862372.56882026,TRUE
"265",1,1131776.29129831,-4755156.85545216,TRUE
"266",1,1062407.03940535,-4800918.43984087,TRUE
"267",1,1126672.71283154,-4881451.52236278,TRUE
"268",1,1061121.76544952,-4801865.24489297,TRUE
"269",1,1149544.48781952,-4871992.98510249,TRUE
"270",1,1086339.42915465,-4886660.76684182,TRUE
"271",1,1121748.54614266,-4796000.18420495,TRUE
"272",1,1149878.49402727,-4848276.36240582,TRUE
"273",1,1110227.6068714,-4800395.44358215,TRUE
"274",1,1124833.47805556,-4884547.53244204,TRUE
"275",1,1107281.74394631,-4797000.18890165,TRUE
"276",1,1089455.26880664,-4792628.15118165,TRUE
"277",1,1070259.10940282,-4780160.95922608,TRUE
"278",1,1199017.92848097,-4791119.07757701,TRUE
"279",1,1104403.51355172,-4867794.97670141,TRUE
"280",1,1151207.20606728,-4871386.14951987,TRUE
"281",1,1094058.32945348,-4725265.61018955,TRUE
"282",1,1086471.98831372,-4896137.5223447,TRUE
"283",1,1071570.21703864,-4782873.35579786,TRUE
"284",1,1110469.77575138,-4798050.85849714,TRUE
"285",1,1091291.29160665,-4802350.38938993,TRUE
"286",1,1082188.38556921,-4891552.28790989,TRUE
"287",1,1121474.04368291,-4797227.57405848,TRUE
"288",1,1070555.69635634,-4783079.80815313,TRUE
"289",1,1150015.38646519,-4845364.47562746,TRUE
"290",1,1115293.83475393,-4892594.08515781,TRUE
"291",1,1109360.97406293,-4715869.75319733,TRUE
"292",1,1109609.6308221,-4871432.22555838,TRUE
"293",1,1158298.1652668,-4874322.55616712,TRUE
"294",1,1123237.99773468,-4879653.14563464,TRUE
"295",1,1062407.03940535,-4800918.43984087,TRUE
"296",1,1058869.41396998,-4797813.76579312,TRUE
"297",1,1104566.12346361,-4852211.89017874,TRUE
"298",1,1112729.77484212,-4800769.14698791,TRUE
"299",1,1157179.34543434,-4872608.49503748,TRUE
"300",1,1078293.82630423,-4914028.45304841,TRUE
"301",1,1153443.65193508,-4805950.23016259,TRUE
"302",1,1154015.56728224,-4859430.65392874,TRUE
"303",1,1154294.46712627,-4861782.15480055,TRUE
"304",1,1145718.18930993,-4732754.70246358,TRUE
"305",1,1154294.46712627,-4861782.15480055,TRUE
"306",1,1117116.29497547,-4805536.53527988,TRUE
"307",1,1148027.51621519,-4839961.64683791,TRUE
"308",1,1066822.22663714,-4826083.64504445,TRUE
"309",1,1110161.07366829,-4802037.13451759,TRUE
"310",1,1116581.04452058,-4803729.67100649,TRUE
"311",1,1155070.15375639,-4827551.23716946,TRUE
"312",1,1156085.13807112,-4780629.75751298,TRUE
"313",1,1031896.99952599,-4746914.90633227,TRUE
"314",1,1105261.94154763,-4714314.93461266,TRUE
"315",1,1149216.98915828,-4872166.51138188,TRUE
"316",1,1148111.37221292,-4835990.13983202,TRUE
"317",1,1105833.06752977,-4713758.32146316,TRUE
"318",1,1170586.80497466,-4822929.91754422,TRUE
"319",1,1117116.29497547,-4805536.53527988,TRUE
"320",1,1126704.64535668,-4781392.97284774,TRUE
"321",1,1155340.33987788,-4877959.37917862,TRUE
"322",1,1148581.67897294,-4843473.28235534,TRUE
"323",1,1157085.28465657,-4881237.6005848,TRUE
"324",1,1107782.94832679,-4804109.90186935,TRUE
"325",1,1104357.50694119,-4796388.45901283,TRUE
"326",1,1124844.00113654,-4884555.84630532,TRUE
"327",1,1078716.52105933,-4915937.27399289,TRUE
"328",1,1138729.42806342,-4835987.01297361,TRUE
"329",1,1104788.3802344,-4715908.34105981,TRUE
"330",1,1067371.8650915,-4819383.58724662,TRUE
"331",1,1158325.02438768,-4914695.91622999,TRUE
"332",1,1150968.11793507,-4880403.7646794,TRUE
"333",1,1134786.20223323,-4793575.63414414,TRUE
"334",1,1126868.30073421,-4880609.25398054,TRUE
